,PROVINCIA,PRODUTO,TOTAL_VENTAS,GENERO,RANGO_ETARIO,ANIO
343,MENDOZA,ZAPATILLA FILA TRACKER HOMBRE,1295,HOM,ADULTO,2020
344,MENDOZA,ZAPATILLA FILA EURO JOGGER SPORT HOMBRE,1116,HOM,ADULTO,2020
345,MISIONES,ZAPATILLA FILA LUGANO 6.0 HOMBRE,134,HOM,ADULTO,2020
346,NEUQUÉN,ZAPATILLA FILA LUGANO 5.0 HOMBRE,2475,HOM,ADULTO,2020
347,NEUQUÉN,BOTIN SINTETICO UMBRO VELOX HOMBRE,1319,HOM,ADULTO,2020
348,NEUQUÉN,ZAPATILLA FILA TREND HOMBRE,882,HOM,ADULTO,2020
349,NEUQUÉN,ZAPATILLA FILA DISCOVERY HOMBRE,868,HOM,ADULTO,2020
350,RÍO NEGRO,ZAPATILLA FILA ZERMAT HOMBRE,408,HOM,ADULTO,2020
351,RÍO NEGRO,ZAPATILLA FILA DISCOVERY HOMBRE,398,HOM,ADULTO,2020
352,RÍO NEGRO,ZAPATILLA FILA EURO JOGGER SPORT HOMBRE,383,HOM,ADULTO,2020
353,RÍO NEGRO,OJOTA FILA DRIFTER BASIC HOMBRE,264,HOM,ADULTO,2020
354,SALTA,ZAPATILLA FILA EURO JOGGER SPORT HOMBRE,583,HOM,ADULTO,2020
355,SALTA,ZAPATILLA FILA DISCOVERY HOMBRE,494,HOM,ADULTO,2020
356,SALTA,ZAPATILLA FILA SLANT FORCE HOMBRE,369,HOM,ADULTO,2020
357,SALTA,ZAPATILLA FILA LUGANO 6.0 HOMBRE,350,HOM,ADULTO,2020
358,SAN JUAN,CONJUNTO NIZA HOMBRE,433,HOM,ADULTO,2020
359,SAN JUAN,CONJUNTO DIJON HOMBRE,402,HOM,ADULTO,2020
360,SAN JUAN,ZAPATILLA FILA SLANT FORCE HOMBRE,364,HOM,ADULTO,2020
361,SAN LUIS,ZAPATILLA FILA TREND HOMBRE,224,HOM,ADULTO,2020
362,SAN LUIS,ZAPATILLA FILA DISCOVERY HOMBRE,183,HOM,ADULTO,2020
363,SAN LUIS,ZAPATILLA FILA CAMBER HOMBRE,141,HOM,ADULTO,2020
364,SANTA CRUZ,ZAPATILLA FILA EURO JOGGER SPORT HOMBRE,263,HOM,ADULTO,2020
365,SANTA FE,ZAPATILLA FILA DISCOVERY HOMBRE,8434,HOM,ADULTO,2020
